ID,Species,Group,month,spe_month,Leaf_pro,Leaf_level,leaf_group
X026,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C067,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X008,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
C066,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X017,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X018,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X007,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
C053,Hoolock_tianxing,TB,8,Hoolock_tianxing_TB_8,0.167785235,B,low
X021,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X040,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X039,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X005,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
X006,Hoolock_tianxing,TB,9,Hoolock_tianxing_TB_9,0.051502146,A,low
Y023,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y003,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y022,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y028,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y029,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y030,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y002,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y021,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y009,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y007,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y001,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y006,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y035,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y024,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y025,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y020,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y027,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y014,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y013,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y034,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y004,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y005,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y019,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y008,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y033,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y010,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y018,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y015,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y026,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y031,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y016,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y012,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y011,Hoolock_tianxing,TA,9,Hoolock_tianxing_TA_9,0.051502146,A,low
Y032,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y017,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y036,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y037,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
Y038,Hoolock_tianxing,TA,10,Hoolock_tianxing_TA_10,0.069069069,A,low
X032,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
X027,Hoolock_tianxing,TB,10,Hoolock_tianxing_TB_10,0.093117409,A,low
C026,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C033,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C006,Hoolock_tianxing,TB,5,Hoolock_tianxing_TB_5,0.324444444,D,low
C025,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C007,Hoolock_tianxing,TB,5,Hoolock_tianxing_TB_5,0.324444444,D,low
C028,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C029,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C034,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
X050,Hoolock_tianxing,TB,11,Hoolock_tianxing_TB_11,0.373786408,D,low
X052,Hoolock_tianxing,TB,11,Hoolock_tianxing_TB_11,0.373786408,D,low
X051,Hoolock_tianxing,TB,11,Hoolock_tianxing_TB_11,0.373786408,D,low
C030,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
C027,Hoolock_tianxing,TB,6,Hoolock_tianxing_TB_6,0.329608939,D,low
