ID,Species,month
G21062201G5M3,N. concolor,6
G21062502G4B12,N. concolor,6
G21051602G6B,N. concolor,5
G21052001G6A13,N. concolor,5
G21050401G6A,N. concolor,5
G21050704G6M2,N. concolor,5
G21050701G6A,N. concolor,5
G21051302G6M2,N. concolor,5
G21051902G6B16,N. concolor,5
G21051903G6M2,N. concolor,5
G21051301G6B16,N. concolor,5
G21051601G6B,N. concolor,5
G21052002G6M2,N. concolor,5
G21052003G6A16,N. concolor,5
G21051901G6B,N. concolor,5
G21051101G6B16,N. concolor,5
G21122701G4D15,N. concolor,12
G21060101G5A,N. concolor,6
G21060301G5A,N. concolor,6
G21060302G5B,N. concolor,6
G21060303G5M3,N. concolor,6
G21051401G5B16,N. concolor,5
G21053101G5B13,N. concolor,5
G21051301G5A,N. concolor,5
G21052701G5B13,N. concolor,5
G21052103G5A,N. concolor,5
D059,H. tianxing,7
C039,H. tianxing,7
C040,H. tianxing,7
C041,H. tianxing,7
B099,H. tianxing,4
C043,H. tianxing,7
B100,H. tianxing,4
B065,H. tianxing,3
C042,H. tianxing,7
C044,H. tianxing,7
C045,H. tianxing,7
B084,H. tianxing,3
B046,H. tianxing,1
B066,H. tianxing,3
B048,H. tianxing,2
B064,H. tianxing,2
B049,H. tianxing,2
B067,H. tianxing,3
B045,H. tianxing,1
B044,H. tianxing,1
B061,H. tianxing,2
C037,H. tianxing,7
B063,H. tianxing,2
B050,H. tianxing,2
B096,H. tianxing,4
C050,H. tianxing,7
C051,H. tianxing,7
X063,H. tianxing,12
B098,H. tianxing,4
B047,H. tianxing,1
B097,H. tianxing,4
C046,H. tianxing,7
X068,H. tianxing,12
X069,H. tianxing,12
B092,H. tianxing,4
C036,H. tianxing,7
X057,H. tianxing,12
B068,H. tianxing,3
X058,H. tianxing,12
C035,H. tianxing,7
X067,H. tianxing,12
B043,H. tianxing,1
B040,H. tianxing,1
B041,H. tianxing,1
B042,H. tianxing,1
B083,H. tianxing,3
B052,H. tianxing,2
B080,H. tianxing,3
X066,H. tianxing,12
B095,H. tianxing,4
B091,H. tianxing,4
B058,H. tianxing,2
B059,H. tianxing,2
B081,H. tianxing,3
B082,H. tianxing,3
B035,H. tianxing,1
B036,H. tianxing,1
B037,H. tianxing,1
B030,H. tianxing,1
X055,H. tianxing,12
B039,H. tianxing,1
B070,H. tianxing,3
B089,H. tianxing,4
B069,H. tianxing,3
B090,H. tianxing,4
B053,H. tianxing,2
B055,H. tianxing,2
B056,H. tianxing,2
B057,H. tianxing,2
X056,H. tianxing,12
X065,H. tianxing,12
B094,H. tianxing,4
B071,H. tianxing,3
B054,H. tianxing,2
B038,H. tianxing,1
B093,H. tianxing,4
B077,H. tianxing,3
B034,H. tianxing,1
B079,H. tianxing,3
B033,H. tianxing,1
B085,H. tianxing,4
B086,H. tianxing,4
C047,H. tianxing,7
B031,H. tianxing,1
B032,H. tianxing,1
B072,H. tianxing,3
C049,H. tianxing,7
C048,H. tianxing,7
X062,H. tianxing,12
B088,H. tianxing,4
B087,H. tianxing,4
X059,H. tianxing,12
X060,H. tianxing,12
E032,H. tianxing,6
E031,H. tianxing,6
D013,H. tianxing,5
D078,H. tianxing,8
E028,H. tianxing,6
E029,H. tianxing,6
E030,H. tianxing,6
D040,H. tianxing,7
E033,H. tianxing,6
D077,H. tianxing,8
D041,H. tianxing,7
D074,H. tianxing,8
E034,H. tianxing,6
D076,H. tianxing,8
D075,H. tianxing,8
D005,H. tianxing,5
D043,H. tianxing,7
D004,H. tianxing,5
D042,H. tianxing,7
D003,H. tianxing,5
D039,H. tianxing,7
D044,H. tianxing,7
D012,H. tianxing,5
D066,H. tianxing,8
D079,H. tianxing,8
D081,H. tianxing,8
D014,H. tianxing,5
D065,H. tianxing,8
D080,H. tianxing,8
D038,H. tianxing,7
E025,H. tianxing,6
E036,H. tianxing,6
D015,H. tianxing,5
D070,H. tianxing,8
D030,H. tianxing,5
E023,H. tianxing,6
E024,H. tianxing,6
D037,H. tianxing,7
E021,H. tianxing,6
E022,H. tianxing,6
D071,H. tianxing,8
D036,H. tianxing,7
D032,H. tianxing,5
E004,H. tianxing,6
E020,H. tianxing,6
E019,H. tianxing,6
E018,H. tianxing,6
D063,H. tianxing,8
D064,H. tianxing,8
D033,H. tianxing,5
D067,H. tianxing,8
D068,H. tianxing,8
D073,H. tianxing,8
D069,H. tianxing,8
A078,H. tianxing,3
A079,H. tianxing,3
D062,H. tianxing,8
E026,H. tianxing,6
D001,H. tianxing,5
D002,H. tianxing,5
D034,H. tianxing,7
D011,H. tianxing,5
D010,H. tianxing,5
D035,H. tianxing,7
E017,H. tianxing,6
D009,H. tianxing,5
E027,H. tianxing,6
E035,H. tianxing,6
A084,H. tianxing,3
D072,H. tianxing,8
E001,H. tianxing,6
D028,H. tianxing,5
D029,H. tianxing,5
D008,H. tianxing,5
D046,H. tianxing,7
E002,H. tianxing,6
D006,H. tianxing,5
D007,H. tianxing,5
E003,H. tianxing,6
A080,H. tianxing,3
A077,H. tianxing,3
A034,H. tianxing,1
A035,H. tianxing,1
A083,H. tianxing,3
A076,H. tianxing,3
D027,H. tianxing,5
A096,H. tianxing,3
A025,H. tianxing,1
A026,H. tianxing,1
A030,H. tianxing,1
E005,H. tianxing,6
A029,H. tianxing,1
D016,H. tianxing,5
A082,H. tianxing,3
A081,H. tianxing,3
A036,H. tianxing,1
A046,H. tianxing,2
A075,H. tianxing,3
A051,H. tianxing,2
A048,H. tianxing,2
A095,H. tianxing,3
A037,H. tianxing,1
A049,H. tianxing,2
A028,H. tianxing,1
A074,H. tianxing,3
A050,H. tianxing,2
A073,H. tianxing,3
A027,H. tianxing,1
A069,H. tianxing,2
D057,H. tianxing,7
D058,H. tianxing,7
D023,H. tianxing,5
D024,H. tianxing,5
E016,H. tianxing,6
D026,H. tianxing,5
A042,H. tianxing,1
A043,H. tianxing,1
A070,H. tianxing,2
A097,H. tianxing,3
A085,H. tianxing,3
A086,H. tianxing,3
A072,H. tianxing,3
A039,H. tianxing,1
A040,H. tianxing,1
A087,H. tianxing,3
A044,H. tianxing,1
A060,H. tianxing,2
A061,H. tianxing,2
A053,H. tianxing,2
A054,H. tianxing,2
A058,H. tianxing,2
A098,H. tianxing,3
D025,H. tianxing,5
A071,H. tianxing,2
A038,H. tianxing,1
D017,H. tianxing,5
A052,H. tianxing,2
A062,H. tianxing,2
A068,H. tianxing,2
E015,H. tianxing,6
D019,H. tianxing,5
D020,H. tianxing,5
E006,H. tianxing,6
A092,H. tianxing,3
D018,H. tianxing,5
A091,H. tianxing,3
A094,H. tianxing,3
E007,H. tianxing,6
A041,H. tianxing,1
A057,H. tianxing,2
A066,H. tianxing,2
A067,H. tianxing,2
A088,H. tianxing,3
D061,H. tianxing,8
E014,H. tianxing,6
D060,H. tianxing,8
A055,H. tianxing,2
A090,H. tianxing,3
A056,H. tianxing,2
A089,H. tianxing,3
E008,H. tianxing,6
D047,H. tianxing,7
E012,H. tianxing,6
E011,H. tianxing,6
A063,H. tianxing,2
A064,H. tianxing,2
A065,H. tianxing,2
D022,H. tianxing,5
D051,H. tianxing,7
E010,H. tianxing,6
D048,H. tianxing,7
D021,H. tianxing,5
D049,H. tianxing,7
D050,H. tianxing,7
E009,H. tianxing,6
A045,H. tianxing,1
C057,H. tianxing,8
C062,H. tianxing,8
C063,H. tianxing,8
X009,H. tianxing,9
C058,H. tianxing,8
C064,H. tianxing,8
C060,H. tianxing,8
X025,H. tianxing,10
X015,H. tianxing,9
